epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6708,2.28321,4.90139,1.74627,0,0,0,0,1.51204,4.78435,1.32464,8.33e-05,8.33e-05,8.33e-05
2,68.0081,2.03333,4.57351,1.60096,0.00143,0.17308,0.00614,0.00416,1.62959,4.76054,1.31958,0.000173198,0.000173198,0.000173198
3,98.4357,2.05274,4.1288,1.57658,0.00347,0.3112,0.09163,0.06189,1.82333,4.56843,1.30563,0.000261282,0.000261282,0.000261282
4,128.517,1.83054,3.61463,1.41359,0.00499,0.50733,0.09627,0.04788,1.98383,4.24054,1.23967,0.000347552,0.000347552,0.000347552
5,158.307,2.0084,3.32124,1.44281,0.00639,0.48474,0.14269,0.0579,1.91024,3.97545,1.19824,0.000432007,0.000432007,0.000432007
6,188.684,1.91107,3.16867,1.32929,0.00764,0.78709,0.14413,0.07569,1.79739,3.52949,1.21831,0.000514648,0.000514648,0.000514648
7,218.446,1.84505,3.75088,1.31167,0.90568,0.01923,0.27455,0.16644,1.94471,3.44339,1.34674,0.000595475,0.000595475,0.000595475
8,248.35,1.91364,3.00455,1.38185,0.93028,0.19002,0.30868,0.17709,2.01688,3.27316,1.35392,0.000674488,0.000674488,0.000674488
9,279.698,1.92171,2.98673,1.35139,0.45133,0.26282,0.23014,0.12349,1.93799,2.93532,1.31706,0.000751686,0.000751686,0.000751686
10,315.354,1.85358,2.90963,1.36051,0.42577,0.14423,0.20721,0.12343,1.92913,3.04513,1.3393,0.00075878,0.00075878,0.00075878
11,345.327,1.86416,3.17844,1.41027,0.18079,0.12637,0.20535,0.11764,1.9641,3.13153,1.36938,0.000750533,0.000750533,0.000750533
12,375.223,1.90603,2.8453,1.45191,0.37141,0.16484,0.18224,0.09264,2.0568,3.02704,1.4875,0.000742286,0.000742286,0.000742286
13,405.12,1.78619,2.66021,1.38402,0.59817,0.14101,0.20973,0.10795,1.98057,3.00197,1.45571,0.00073404,0.00073404,0.00073404
14,434.743,1.75116,2.91884,1.40136,0.51999,0.29691,0.28961,0.14586,2.03589,2.88505,1.49738,0.000725793,0.000725793,0.000725793
15,465.154,1.82589,2.66834,1.34757,0.56087,0.24926,0.30162,0.16607,1.92545,2.88718,1.4064,0.000717546,0.000717546,0.000717546
16,495.224,1.69739,2.71274,1.34429,0.47679,0.25306,0.28459,0.16485,2.01728,2.92355,1.43785,0.000709299,0.000709299,0.000709299
17,525.871,1.78733,2.54823,1.35419,0.15225,0.37961,0.22834,0.13007,2.07553,2.74119,1.47729,0.000701053,0.000701053,0.000701053
18,555.456,1.72373,2.59636,1.33232,0.5698,0.23397,0.33203,0.22604,2.03119,2.74936,1.47423,0.000692806,0.000692806,0.000692806
19,585.703,1.80524,2.5862,1.43812,0.6598,0.20007,0.32418,0.22561,2.03427,2.69008,1.47748,0.000684559,0.000684559,0.000684559
20,615.712,1.72309,2.47749,1.33184,0.24069,0.28297,0.32865,0.2194,1.82586,2.57481,1.37127,0.000676313,0.000676313,0.000676313
21,645.784,1.73291,2.42785,1.31576,0.28089,0.27423,0.31923,0.21132,1.87156,2.53414,1.38982,0.000668066,0.000668066,0.000668066
22,675.588,1.83706,2.5536,1.37125,0.23057,0.31502,0.30732,0.2026,1.93147,2.49793,1.41636,0.000659819,0.000659819,0.000659819
23,705.955,1.83579,2.41951,1.41846,0.37826,0.31227,0.30377,0.20612,1.87467,2.55811,1.33391,0.000651573,0.000651573,0.000651573
24,736.083,1.74172,2.23196,1.31179,0.55303,0.32795,0.31151,0.22317,1.79049,2.59163,1.2872,0.000643326,0.000643326,0.000643326
25,766.32,1.81009,2.20057,1.33151,0.56475,0.27701,0.3074,0.21865,1.75163,2.80242,1.2595,0.000635079,0.000635079,0.000635079
